cgpa,score,internships,skills,backlogs,certifications,communication,programming_score,extra_curricular,gender,domain,placed
9.73,9.66,3,2,3,4,4.22,7.19,0,Male,CS,0
8.96,5.94,3,2,1,4,4.8,8.32,0,Female,ECE,1
6.49,7.11,3,7,4,2,4.08,4.37,0,Male,CS,0
5.48,8.22,3,6,2,4,4.45,4.89,0,Female,CS,1
8.35,6.18,2,3,1,0,8.15,4.8,0,Male,ECE,0
7.16,9.83,2,9,2,3,7.21,8.12,0,Male,ECE,0
5.6,9.77,0,6,0,0,8.5,9.07,0,Male,CIVIL,1
7.43,5.51,3,6,1,0,9.48,8.5,1,Male,ECE,1
5.17,6.98,0,1,4,4,7.51,4.18,1,Male,MECH,1
9.46,5.81,3,4,1,3,8.36,9.2,0,Male,CS,1
6.27,5.71,3,6,1,3,8.54,6.12,0,Male,CS,0
8.25,4.22,2,6,1,3,6.27,6.38,1,Female,MECH,1
6.53,7.66,2,5,1,2,5.45,4.63,0,Female,ECE,1
7.55,7.02,1,1,2,4,5.23,8.42,0,Female,MECH,1
7.68,4.31,2,8,0,3,5.51,5.09,0,Female,MECH,0
5.91,5.67,1,5,3,2,5.65,7.38,1,Female,CIVIL,0
9.75,9.45,1,5,1,1,5.24,9.04,1,Male,MECH,1
8.8,5.44,1,7,4,1,9.27,4.54,1,Male,CS,0
9.6,4.87,1,4,1,2,8.54,7.21,1,Female,MECH,1
9.38,6.94,1,6,4,2,4.28,5.4,1,Male,CS,0
7.93,9.91,0,4,2,4,5.61,6.06,0,Female,CS,0
9.52,5.45,2,3,4,4,4.13,6.84,1,Female,CS,0
5.43,8.03,1,7,3,1,6.99,6.13,0,Male,ECE,0
5.96,8.57,3,8,0,3,6.86,7.89,0,Male,CIVIL,1
5.22,5.43,2,4,4,1,8.99,6.88,1,Male,CS,1
6.59,8.37,2,2,4,3,5.85,7.51,1,Female,CS,1
6.9,6.21,1,3,0,3,8.9,8.42,0,Male,ECE,0
6.33,7.79,0,1,3,4,9.81,7.35,0,Female,CS,1
9.06,7.8,1,8,1,0,4.53,7.52,0,Female,MECH,1
6.75,7.21,0,3,4,0,8.75,7.39,1,Female,MECH,1
6.38,4.54,3,7,0,2,7.54,6.27,1,Male,CIVIL,0
7.66,9.01,2,5,2,4,6.88,6.02,1,Male,CS,0
5.69,5.92,3,5,0,3,6.52,9.4,1,Female,ECE,0
8.93,5.12,0,7,2,0,8.71,7.65,1,Male,MECH,1
5.37,4.24,0,9,3,3,7.84,5.47,0,Male,ECE,1
9.84,7.55,3,5,1,0,8.83,6.99,1,Male,ECE,1
8.78,8.07,0,1,0,0,9.42,5.98,0,Female,MECH,0
5.97,4.1,3,1,4,0,7.7,9.6,0,Female,ECE,0
5.03,7.07,2,2,3,4,9.88,4.05,0,Male,MECH,1
9.0,5.36,3,6,0,1,7.65,5.35,1,Female,ECE,0
8.46,7.87,2,9,4,3,7.82,6.19,1,Male,MECH,0
8.57,5.05,3,8,0,4,7.33,6.93,1,Male,CS,0
8.78,8.15,0,5,2,4,4.55,9.1,0,Male,CIVIL,0
5.36,6.32,3,1,0,4,8.36,4.53,0,Male,MECH,1
6.76,9.62,0,7,0,4,7.28,8.84,0,Female,MECH,0
5.57,4.83,3,5,0,4,6.71,4.33,0,Female,CIVIL,0
9.23,6.05,3,6,3,2,9.46,9.05,0,Female,MECH,0
8.05,4.68,1,7,0,3,5.79,4.31,0,Male,MECH,0
6.62,9.55,0,3,4,4,7.14,4.11,1,Male,ECE,1
5.31,9.26,1,3,2,3,8.19,8.18,1,Male,CIVIL,1
6.52,5.55,0,5,2,2,8.78,9.98,1,Female,CS,0
6.59,7.96,1,6,0,2,6.76,9.38,1,Male,MECH,0
8.58,8.9,2,9,3,3,9.05,7.46,0,Female,CIVIL,0
8.12,7.33,3,5,3,0,8.61,9.5,0,Female,ECE,0
9.35,7.18,0,1,4,1,4.4,4.03,1,Female,CS,0
7.31,5.45,0,4,0,0,4.28,9.85,0,Female,CIVIL,0
5.59,4.56,3,5,2,0,7.72,6.94,1,Female,CS,1
8.49,9.38,0,5,3,0,6.08,8.34,1,Female,CS,0
8.73,9.4,0,7,0,4,5.25,8.93,1,Male,CS,1
7.75,7.8,1,4,3,2,7.48,8.31,0,Male,MECH,1
8.78,6.03,0,1,3,0,6.05,7.21,1,Female,MECH,0
7.42,6.1,2,5,2,2,7.22,6.86,1,Female,ECE,1
7.56,8.36,2,7,1,3,6.76,9.03,1,Male,ECE,1
7.09,9.38,3,6,4,1,7.51,5.23,0,Female,CIVIL,1
5.12,9.32,0,5,4,3,6.4,9.81,0,Female,ECE,1
5.53,8.68,3,4,2,3,8.19,8.27,1,Male,CS,1
